# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation
AN38,C450SM550PM450,5138.1,2339.7,0.0
AN40,C450SM550PM450,5200.9,2339.7,0.0
AN42,C450SM550PM450,5263.6,2339.7,0.0
AN44,C450SM550PM450,5326.3,2339.7,0.0
AN46,C450SM550PM450,5389.1,2339.7,0.0
AN48,C450SM550PM450,5451.8,2339.7,0.0
AN50,C450SM550PM450,5514.5,2339.7,0.0
AN52,C450SM550PM450,5577.3,2339.7,0.0
AN54,C450SM550PM450,5640.0,2339.7,0.0
AN56,C450SM550PM450,5702.7,2339.7,0.0
AN58,C450SM550PM450,5765.5,2339.7,0.0
AN60,C450SM550PM450,5828.2,2339.7,0.0
AN62,C450SM550PM450,5890.9,2339.7,0.0
AN64,C450SM550PM450,5953.7,2339.7,0.0
AN66,C450SM550PM450,6016.4,2339.7,0.0
AN68,C450SM550PM450,6079.2,2339.7,0.0
AP1,C450SM550PM450,3977.5,2321.5,0.0
AP3,C450SM550PM450,4040.2,2321.5,0.0
AP5,C450SM550PM450,4103.0,2321.5,0.0
AP7,C450SM550PM450,4165.7,2321.5,0.0
AP9,C450SM550PM450,4228.4,2321.5,0.0
AP11,C450SM550PM450,4291.2,2321.5,0.0
AP13,C450SM550PM450,4353.9,2321.5,0.0
AP15,C450SM550PM450,4416.6,2321.5,0.0
AP17,C450SM550PM450,4479.4,2321.5,0.0
AP19,C450SM550PM450,4542.1,2321.5,0.0
AP21,C450SM550PM450,4604.9,2321.5,0.0
AP23,C450SM550PM450,4667.6,2321.5,0.0
AP25,C450SM550PM450,4730.3,2321.5,0.0
AP27,C450SM550PM450,4793.1,2321.5,0.0
AP29,C450SM550PM450,4855.8,2321.5,0.0
AP31,C450SM550PM450,4918.5,2321.5,0.0
AP33,C450SM550PM450,4981.3,2321.5,0.0
AP35,C450SM550PM450,5044.0,2321.5,0.0
AP37,C450SM550PM450,5106.7,2321.5,0.0
AP39,C450SM550PM450,5169.5,2321.5,0.0
AP41,C450SM550PM450,5232.2,2321.5,0.0
AP43,C450SM550PM450,5295.0,2321.5,0.0
AP45,C450SM550PM450,5357.7,2321.5,0.0
AP47,C450SM550PM450,5420.4,2321.5,0.0
AP49,C450SM550PM450,5483.2,2321.5,0.0
AP51,C450SM550PM450,5545.9,2321.5,0.0
